analysis_name,parameter_name,parameter_unit,elabor_t_lyhend
57021-8 Hemogramm 5-Osalise Leukogrammiga,61151-7 Albumiin,g/L,"S,P-Alb"
58410-2 Hemogramm,14338-8 Prealbumiin,g/L,"S,P-PreAlb"
58410-2 Hemogramm,14957-5 Albumiin uriinis,mg/L,U-Alb
58410-2 Hemogramm,2862-1 Albumiin Fr,g/L,S-Alb-Fr
58410-2 Hemogramm,61151-7 Albumiin,g/L,"S,P-Alb"
Alb - Albumiin Seerumis,Albumiin seerumis,g/L,"S,P-Alb"
Albumiin,61151-7 Albumiin,g/L,"S,P-Alb"
Albumiini Ja Kreatiniini Suhe Uriinis,30000-4,g/mol,U-Alb/U-Crea
Albumiini Ja Kreatiniini Suhe Uriinis,Alb,mg/L,U-Alb
Albumiini Ja Kreatiniini Suhe Uriinis,albumiini/kreatiniini suhe,mg/mmol,U-Alb/U-Crea
Albumiini Ja Kreatiniini Suhe Uriinis,Crea,umol/L,U-Crea
Albumiini Ja Kreatiniini Suhe Uriinis,kreatiniin,mmol/L,U-Crea
Albumiini Ja Kreatiniini Suhe Uriinis,Mikroalbuminuuria,mg/L,U-Alb
Albumiini-Kreatiniini Suhe Uriinis,Albumiin,mg/L,U-Alb
Albumiini/Kreatiniini Suhe Uriinis,µAlb,mg/L,U-Alb
Albumiini/Kreatiniini Suhe Uriinis,Crea,mmol/L,U-Crea
Albumiin Juhuslikus Uriinis,Albumiin uriinis7,mg/L,U-Alb
Albumiin Juhuslikus Uriinis,Kreatiniin uriinis2,mmol/L,U-Crea
Albumiin/Kreatiniin Uriinis,30000-4 Albumiin/kreatiniin uriinis,g/mol,U-Alb/U-Crea
Albumiin/Kreatiniin Uriinis,30000-4 Albumiin/kreatiniin uriinis,mg/mmol,U-Alb/U-Crea
Albumiin/Kreatiniin Uriinis,Albumiin,mg/L,U-Alb
Albumiin/Kreatiniin Uriinis,U-Mikroalb,mg/d,dU-Alb
Albumiin Liikvoris,1746-7,mg/L,CSF-Alb
Albumiin Plasmas,61151-7,g/L,"S,P-Alb"
Albumiin Seerumis,61151-7,g/L,"S,P-Alb"
Albumiin Seerumis,66100 S-Albumiin seerumis,g/L,"S,P-Alb"
Albumiin Seerumis,Albumiin seerumis,g/L,"S,P-Alb"
Albumiin Seerumis,"S-Alb, P-Alb",ng/mL,"S,P-Alb"
Albumiin Uriinis,14957-5,mg/L,U-Alb
Albumiin Uriinis,14957-5 Albumiin uriinis,mg/L,U-Alb
Albumiin Uriinis,mikroalbuminuuria,mg/L,U-Alb
Albumiin Uriinis ( Mikroalbumiin ),U-Alb-2,mg/L,U-Alb
Albumiin Ööpäevases Uriinis,Albumiin ööpäeva uriinis,mg/d,dU-Alb
Albumiin Ööpäevases Uriinis,Mikroalbumiin nefelomeetriliselt,mg/L,U-Alb
Biokeemia,Albumiin,g/L,"S,P-Alb"
Kreatiniin Ja Mikroalbumiin 24 H Uriinis,U-Mikroalb,mg/d,dU-Alb
"L-1949 Hemogramm 5-Osalise Leukogrammi, Normoblastide Ja Retikulotsüütidega",2862-1 Albumiin Fr,g/L,S-Alb-Fr
"L-1949 Hemogramm 5-Osalise Leukogrammi, Normoblastide Ja Retikulotsüütidega",61151-7 Albumiin,g/L,"S,P-Alb"
Mikroalbumiin Nefelomeetriliselt,dU-MA,mg/L,U-Alb
Uriini Ribaanalüüs (Ph),Albumiin (kõrgtundlik),g/L,"S,P-Alb-hs"
Uriini Uuringud,Albumiini / kreat suhe,mgalb/mmol kreat,U-Alb/U-Crea
Uriini Uuringud,mikroalbumii,mg/L,U-Alb
Uriini Uuringud,mikroalbumiin,mg/L,U-Alb
Uriini Uuringud,Mikroalbuminuuri,mg/d,dU-Alb
Uriini Uuringud,Mikroalbuminuuria,mg/d,dU-Alb
