parameter_name,t_lyhend,loinc_code,substrate,evidence
"s,p-Trans(Transferriin)","S,P-Transf",3034-6,Ser/Plas,latest_parentheses_two_cases
"s,p-Trigl(Triglutseriidid)","fS,fP-Trigl",14927-8,Ser/Plas,latest_parentheses_two_cases
"s,p-Trigl(triglutseriidid)","fS,fP-Trigl",14927-8,Ser/Plas,latest_parentheses_two_cases
"s,p-Trig(Triglutseriidid)","fS,fP-Trigl",14927-8,Ser/Plas,latest_prefix_cases
"s,p-TSH(Tureotropiin ehk kilpnaaret stimuleeriv hormoon)","S,P-TSH",3016-3,Ser/Plas,latest_parentheses_one_cases
"s,p-T(Tureoglobuliin)","S,P-TG",3013-0,Ser/Plas,latest_parentheses_two_cases
"s,p-ua","S,P-UA",14933-6,Ser/Plas,latest_name_cases
"s,p-UA(Kusihape)","S,P-UA",14933-6,Ser/Plas,latest_parentheses_one_cases
"s,p-UA(kusihape)","S,P-UA",14933-6,Ser/Plas,latest_prefix_cases
"s,p-UA(Kusihape seerumis)","S,P-UA",14933-6,Ser/Plas,latest_prefix_cases
"s,p-U(Kusihape)","S,P-UA",14933-6,Ser/Plas,latest_parentheses_two_cases
"s,p-urea","S,P-Urea",22664-7,Ser/Plas,latest_name_cases
"s,p-Urea 1(Uurea)","S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
"s,p-Urea 2(Uurea)","S,P-Urea",22664-7,Ser/Plas,latest_parentheses_two_cases
"s,p-Urea 3(Uurea)","S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
"s,p-Urea 4(Uurea)","S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
"s,p-Urea 6(Uurea)","S,P-Urea",22664-7,Ser/Plas,latest_parentheses_two_cases
"s,p-Urea(Uurea)","S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
"s,p-Urea(uurea)","S,P-Urea",22664-7,Ser/Plas,latest_parentheses_one_cases
"s,p-Urea(Uurea seerumis)","S,P-Urea",22664-7,Ser/Plas,latest_parentheses_one_cases
"s,p-Ure(Uurea)","S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
"s,p-Valpr(valproaat)","S,P-Valpr",4086-5,Ser/Plas,latest_prefix_cases
"s,p-vitb12","S,P-Vit B12",14685-2,Bld,latest_name_cases
"s,p-VitD3(25-OH)(VitamiinD,25-hudroksu)","S,P-Vit D3 (25-OH)",1989-3,Ser/Plas,latest_parentheses_one_cases
"s,p-Yers03(IgG)","S,P-IgG",2465-3,Bld,latest_parentheses_two_cases
"s,p-Yers09(IGA)","S,P-IgA",2458-8,Bld,latest_prefix_cases
S-RF,"S,P-RF",11572-5,Bld,latest_prefix_cases
S-Rf,"S,P-RF",11572-5,Bld,latest_prefix_cases
S-SHBG,"S,P-SHBG",13967-5,Ser/Plas,latest_prefix_cases
S-SHBG ,"S,P-SHBG",13967-5,Ser/Plas,latest_prefix_cases
S-sTransf,"S,P-sTransf",13452-8,Ser/Plas,latest_prefix_cases
S-sTrf-r,"S,P-Transf-sR",30248-9,Ser/Plas,latest_name_cases
S-T3,"S,P-T3",14930-2,Ser/Plas,latest_prefix_cases
S-T4,"S,P-T4",14921-1,Ser/Plas,latest_prefix_cases
St-Calpr(Kalprotektiin roojas),St-Calpro,38445-3,Urine,latest_parentheses_two_cases
St-Calpro(Kalprotektiin roojas),St-Calpro,38445-3,Urine,latest_parentheses_one_cases
S-Testo,"S,P-Testo",14913-8,Ser/Plas,latest_prefix_cases
S-testo,"S,P-Testo",14913-8,Ser/Plas,latest_prefix_cases
S-TG,"S,P-TG",3013-0,Ser/Plas,latest_prefix_cases
S-TG ,"S,P-TG",3013-0,Ser/Plas,latest_prefix_cases
S-TPOIgG,"S,P-TPO IgG",8099-4,Ser/Plas,latest_prefix_cases
S-TPO IgG,"S,P-TPO IgG",8099-4,Ser/Plas,latest_prefix_cases
S-Transf,"S,P-Transf",3034-6,Ser/Plas,latest_prefix_cases
S-Transf-sR,"S,P-Transf-sR",30248-9,Ser/Plas,latest_prefix_cases
S-Trf,"S,P-Transf",3034-6,Ser/Plas,latest_name_cases
S-TrfS,"S,P-Transf",3034-6,Ser/Plas,latest_prefix_cases
S-Trigl,"fS,fP-Trigl",14927-8,Ser/Plas,latest_prefix_cases
S-TSH,"S,P-TSH",3016-3,Ser/Plas,latest_prefix_cases
S-TSH ,"S,P-TSH",3016-3,Ser/Plas,latest_prefix_cases
S-UA,"S,P-UA",14933-6,Ser/Plas,latest_prefix_cases
S-Urea,"S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
S-Urea ,"S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
S-Valpr,"S,P-Valpr",4086-5,Ser/Plas,latest_prefix_cases
S-VitB12,"S,P-Vit B12",14685-2,Bld,latest_prefix_cases
S-VitD(25-OH),"S,P-Vit D (25-OH)",60493-4,Ser/Plas,latest_prefix_cases
S-VitD3(25-OH),"S,P-Vit D3 (25-OH)",1989-3,Ser/Plas,latest_prefix_cases
SynF-DiffA(liigesevedeliku tsutoosi uuring analusaatoril),SynF-Diff a,34559-5,Synv fld,latest_name_cases
Teiste HPV kõrge riskiga tüüpide DNA,XXX-HPV high risk DNA II,71431-1,Cvx,latest_manual_cases
Tetratsukliin(Tetratsukliin),Is-Tetracycline,18993-6,Isolate,latest_parentheses_one_cases
Tetratsuklii(Tetratsukliin),Is-Tetracycline,18993-6,Isolate,latest_parentheses_two_cases
transferriin(transferriin),"S,P-Transf",3034-6,Ser/Plas,latest_parentheses_one_cases
transferrii(transferriin),"S,P-Transf",3034-6,Ser/Plas,latest_parentheses_two_cases
Trombokrit %,B-Pct,51637-7,Bld,latest_manual_cases
Trombotsuudid(Trombotsuudid),B-Plt,777-3,Bld,latest_parentheses_one_cases
Troponiin I kardiaalne,"S,P-cTnI",10839-9,Ser/Plas,latest_name_cases
Tsefepiim(Tsefepiim),Is-Cefepime,18879-7,Isolate,latest_parentheses_one_cases
Tsefoksitiin(Tsefoksitiin),Is-Cefoxitin,18888-8,Isolate,latest_parentheses_one_cases
Tsefotaksiim(CTX) MIK,Is-Cefotaxime,18886-2,Isolate,latest_parentheses_one_cases
Tsefotaksiim(Tsefotaksiim),Is-Cefotaxime,18886-2,Isolate,latest_parentheses_one_cases
Tseftasidiim(Tseftasidiim),Is-Ceftazidime,18893-8,Isolate,latest_parentheses_one_cases
Tseftasidii(Tseftasidiim),Is-Ceftazidime,18893-8,Isolate,latest_parentheses_two_cases
Tsiprofloksatsiin(Tsiprofloksatsiin),Is-Ciprofloxacin,18906-8,Isolate,latest_parentheses_one_cases
Tsiprofloksatsii(Tsiprofloksatsiin),Is-Ciprofloxacin,18906-8,Isolate,latest_parentheses_two_cases
Tureoidperoksudaasivastane IgG,"S,P-TPO IgG",8099-4,Ser/Plas,latest_name_cases
T vaginalis DNA tupekaapes(Trichomonas vaginalis DNA),XXX-T vaginalis DNA,69937-1,,latest_parentheses_two_cases
U-Al(Albumiin uriinis),U-Alb,14957-5,Urine,latest_parentheses_two_cases
u-alb,U-Alb,14957-5,Urine,latest_name_cases
U-Alb(Albumiin uriinis ),U-Alb,14957-5,Urine,latest_name_cases
U-Alb(Albumiin uriinis),U-Alb,14957-5,Urine,latest_name_cases
u-alb/u-crea,U-Alb/U-Crea,30000-4,Urine,latest_name_cases
U-Alb/ U-Crea(Albumiini ja kreatiniini suhe uriinis),U-Alb/U-Crea,30000-4,Urine,latest_parentheses_one_cases
U-Alb/U-Crea(Albumiini ja kreatiniini suhe uriinis),U-Alb/U-Crea,30000-4,Urine,latest_parentheses_one_cases
U-Alb/U-CreaAlbumiinijakreatiniinisuheuriinis ,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
U-Alb/U-Cre(Albumiini ja kreatiniini suhe uriinis),U-Alb/U-Crea,30000-4,Urine,latest_parentheses_two_cases
U-Albumiin,U-Alb,14957-5,Urine,latest_completely_manual_cases
U-Albumiin/Kreatiniin Uriinis,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
U-Albumiin Uriinis,U-Alb,14957-5,Urine,latest_completely_manual_cases
u-amp,U-Amp,19261-7,Urine,latest_name_cases
U-Amp(Amfetamiinid uriinis),U-Amp,19261-7,Urine,latest_parentheses_one_cases
U-Amyl(Alfa-Amulaas uriinis),U-Amyl,1799-6,Urine,latest_parentheses_one_cases
U-Amyl(Amulaas uriinis),U-Amyl,1799-6,Urine,latest_name_cases
U-Amyl/U-Crea(Amulaasi ja kreatiniini suhe uriinis),U-Amyl/U-Crea,34235-2,Urine,latest_name_cases
U-Ba(Barbituraadid uriinis),U-Bar,19270-8,Urine,latest_parentheses_two_cases
U-BAR(barbituraadid uriinis),U-Bar,19270-8,Urine,latest_name_cases
U-Bar(Barbituraadid uriinis),U-Bar,19270-8,Urine,latest_parentheses_one_cases
U-Bar(barbituraadid uriinis),U-Bar,19270-8,Urine,latest_name_cases
U-Bi,U-Bil strip,41016-7,Urine,latest_manual_cases
 U-Bil,U-Bil strip,41016-7,Urine,latest_semimanual_cases
U-Bil,U-Bil strip,41016-7,Urine,latest_semimanual_cases
u-bil,U-Bil strip,41016-7,Urine,latest_parentheses_one_cases
U-Bil Bilirubiin,U-Bil strip,41016-7,Urine,latest_manual_cases
U-Bil(Bilirubiin uriinis),U-Bil strip,41016-7,Urine,latest_parentheses_one_cases
U-Bz(Bensodiasepiinid uriinis),U-Bzd,14316-4,Urine,latest_parentheses_two_cases
u-bzd,U-Bzd,14316-4,Urine,latest_name_cases
U-BZD(benzodiazepiin uriinis),U-Bzd,14316-4,Urine,latest_parentheses_one_cases
U-Bzd(benzodiazepiin uriinis),U-Bzd,14316-4,Urine,latest_parentheses_one_cases
U-Bzo(Bensodiasepiinid uriinis),U-Bzd,14316-4,Urine,latest_parentheses_two_cases
U-C(Kaltsium uriinis),U-Ca,2004-0,Urine,latest_parentheses_two_cases
U-Cla Läbipaistvus,,32167-9,Urine,manual
u-coc,U-Coc,19359-9,Urine,latest_name_cases
U-COC(Kokaiin uriinis),U-Coc,19359-9,Urine,latest_parentheses_one_cases
U-COC(kokaiin uriinis),U-Coc,19359-9,Urine,latest_parentheses_one_cases
U-Coc(kokaiin uriinis),U-Coc,19359-9,Urine,latest_parentheses_one_cases
U-CO(Kokaiin uriinis),U-Coc,19359-9,Urine,latest_parentheses_two_cases
U-Col Värvus,,5778-6,Urine,manual
U-Cort(Kortisool uriinis),U-Cort,25882-2,Urine,latest_parentheses_one_cases
U-Crea,U-Crea,14683-7,Urine,latest_completely_manual_cases
U-Crea(Kreatiniin uriinis),U-Crea,14683-7,Urine,latest_name_cases
U-Crea(kreatiniin uriinis),U-Crea,14683-7,Urine,latest_parentheses_one_cases
U-Creat(Kreatiniin uriinis),U-Crea,14683-7,Urine,latest_parentheses_two_cases
U-Cre(Kreatiniin uriinis),U-Crea,14683-7,Urine,latest_parentheses_two_cases
U-Cre(kreatiniin uriinis),U-Crea,14683-7,Urine,latest_parentheses_two_cases
U-Cu(Vask uriinis),U-Cu,34273-3,Urine,latest_parentheses_one_cases
u-ecs,U-Ecs,19568-5,Urine,latest_name_cases
U-Ecs(ecstasy uriinis ),U-Ecs,19568-5,Urine,latest_name_cases
U-Erikaa,U-SG strip,53326-5,Urine,latest_manual_cases
U-Erikaal,U-SG strip,53326-5,Urine,latest_manual_cases
U-ERY,U-RBC strip,57747-8,Urine,latest_manual_cases
U-Ery,U-RBC strip,57747-8,Urine,latest_manual_cases
U-Fen(Fentanuul uriinis),U-Fent,11235-9,Urine,latest_parentheses_two_cases
U-Fent(Fentanuul uriinis),U-Fent,11235-9,Urine,latest_parentheses_one_cases
U-Fent(fentanuul uriinis),U-Fent,11235-9,Urine,latest_parentheses_one_cases
U-Gl,U-Gluc,15076-3,Urine,latest_manual_cases
U-Gl(Glukoos uriinis),U-Gluc,15076-3,Urine,latest_parentheses_two_cases
U-Glu,U-Gluc,15076-3,Urine,latest_manual_cases
u-gluc,U-Gluc,15076-3,Urine,latest_name_cases
U-Glu Gl�koos,U-Gluc,15076-3,Urine,latest_manual_cases
U-Glu(Glukoos uriinis),U-Gluc,15076-3,Urine,latest_parentheses_two_cases
 U-Ket,U-Ket strip,59158-6,Urine,latest_semimanual_cases
U-Ket,U-Ket strip,59158-6,Urine,latest_semimanual_cases
u-ket,U-Ket strip,59158-6,Urine,latest_name_cases
U-Ket Ketokehad,,50557-8,Urine,manual
U-K(Kaalium uriinis),U-K,2828-2,Urine,latest_name_cases
U-Kreatiniin,U-Crea,14683-7,Urine,latest_completely_manual_cases
U-Le,U-WBC strip,58805-3,Urine,latest_manual_cases
U-Leu,U-WBC strip,58805-3,Urine,latest_manual_cases
u-met,U-Met,19554-5,Urine,latest_name_cases
U-MET(metamfetamiin uriinis),U-Met,19554-5,Urine,latest_parentheses_one_cases
U-Met(metamfetamiin uriinis),U-Met,19554-5,Urine,latest_parentheses_one_cases
Um-HPV kõrge riski tüüpide DNA,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
U-MOP(opiaadid uriinis),U-Mop,19295-5,Urine,latest_parentheses_one_cases
U-Mop(opiaadid uriinis),U-Mop,19295-5,Urine,latest_name_cases
u-mtd,U-Mtd,19550-3,Urine,latest_name_cases
U-Mtd(metadoon uriinis),U-Mtd,19550-3,Urine,latest_name_cases
U-Na(Naatrium uriinis),U-Na,2955-3,Urine,latest_name_cases
 U-Nit,U-Nit strip,50558-6,Urine,latest_semimanual_cases
U-Nit,U-Nit strip,50558-6,Urine,latest_semimanual_cases
u-nit,U-Nit strip,50558-6,Urine,latest_parentheses_one_cases
U-Nit Nitrit,U-Ni,34343-4,Urine,latest_manual_cases
U-Nit(Nitritid uriinis),U-Nit strip,50558-6,Urine,latest_parentheses_one_cases
U-OPI(Opiaadid uriinis),U-Mop,19295-5,Urine,latest_parentheses_two_cases
U-OP(Opiaadid uriinis),U-Mop,19295-5,Urine,latest_parentheses_two_cases
U-OXY(oksukodoon uriinis),U-Oxy,10998-3,Urine,latest_parentheses_one_cases
U-PBG(Porfobilinogeen uriinis),U-PBG,2811-8,Urine,latest_name_cases
u-pcp,U-PCP,3936-2,Urine,latest_name_cases
U-PCP(fentsuklidiin uriinis),U-PCP,3936-2,Urine,latest_parentheses_one_cases
 U-pH,U-pH strip,50560-2,Urine,latest_semimanual_cases
U-pH,U-pH strip,50560-2,Urine,latest_semimanual_cases
U-PPX(propoksufeen uriinis),U-PPX,19141-1,Urine,latest_parentheses_one_cases
U-Pr,U-Prot,2888-6,Urine,latest_manual_cases
U-Pro,U-Prot,2888-6,Urine,latest_manual_cases
U-Prot_,U-Prot,2888-6,Urine,latest_completely_manual_cases
U-Prot(Valk uriinis),U-Prot,2888-6,Urine,latest_parentheses_one_cases
U-Pro Valk,U-Prot,2888-6,Urine,latest_manual_cases
U-Pro(Valk uriinis),U-Prot,2888-6,Urine,latest_parentheses_two_cases
U-Pr(Valk uriinis),U-Prot,2888-6,Urine,latest_parentheses_two_cases
U-RBC Er�trots��did,U-RBC strip,57747-8,Urine,latest_manual_cases
Uricult(aeroobnekulv),XXX-Aerobic culture,634-6,,latest_parentheses_two_cases
Uriini ribaanaluus,U-Strip,50556-0,Urine,latest_manual_cases
Urobilinogeen(Urobilinogeen),U-Ubg strip,60025-4,Urine,latest_parentheses_one_cases
Urobilinogee(Urobilinogeen),U-Ubg strip,60025-4,Urine,latest_parentheses_two_cases
U-S-Crea-Carvutuslik(kreatiniinikliirens),dU-S-Crea,2164-2,Urine+Ser/Plas,latest_parentheses_two_cases
U-S-Crea-Cmoodetav(kreatiniinikliirens),dU-S-Crea,2164-2,Urine+Ser/Plas,latest_parentheses_two_cases
U-Sedim,U-Sed-m panel,24356-8,Urine,latest_completely_manual_cases
U-SG,U-SG strip,53326-5,Urine,latest_manual_cases
U-SG Erikaal,U-SG strip,53326-5,Urine,latest_manual_cases
U-SG(Uriini erikaal),U-SG strip,53326-5,Urine,latest_manual_cases
u-tca,U-TCA,19312-8,Urine,latest_name_cases
U-TCA(tritsukloantidepressandid uriinis),U-TCA,19312-8,Urine,latest_parentheses_one_cases
u-thc,U-THC,18282-4,Urine,latest_name_cases
U-THC(Kannabinoidid uriinis ),U-THC,18282-4,Urine,latest_parentheses_one_cases
U-THC(kannabinoidid uriinis),U-THC,18282-4,Urine,latest_name_cases
U-TH(Kannabinoidid uriinis ),U-THC,18282-4,Urine,latest_parentheses_two_cases
U-UB,U-Ubg strip,60025-4,Urine,latest_manual_cases
 U-UBG,U-Ubg strip,60025-4,Urine,latest_semimanual_cases
U-UBG,U-Ubg strip,60025-4,Urine,latest_semimanual_cases
u-ubg,U-Ubg strip,60025-4,Urine,latest_name_cases
U-Ubg Urobilinogeen,U-Ubg strip,60025-4,Urine,latest_manual_cases
U-UB(Urobilinogeen    ),U-Ubg strip,60025-4,Urine,latest_parentheses_two_cases
U-UB(Urobilinogeen  ),U-Ubg strip,60025-4,Urine,latest_parentheses_two_cases
U-Urea(Uurea uriinis),U-Urea,22700-9,Urine,latest_name_cases
U-Ure(Uurea uriinis),U-Urea,22700-9,Urine,latest_parentheses_two_cases
U-Valk/Kreatiniin Uriinis,U-Prot/U-Crea,34366-5,Urine,latest_completely_manual_cases
U-WBC Leukots��did,U-WBC strip,58805-3,Urine,latest_manual_cases
Vaba trijoodturoniin,"S,P-fT3",14928-6,Ser/Plas,latest_name_cases
Vaba turoksiin,"S,P-fT4",14920-3,Ser/Plas,latest_name_cases
Vahajad silindrid(Vahajad silindrid),U-Vahajad silindrid,41223-9,Urine,latest_parentheses_one_cases
Vahajad silindri(Vahajad silindrid),U-Vahajad silindrid,41223-9,Urine,latest_parentheses_two_cases
Valk/Kreatiniin Uriinis,U-Prot/U-Crea,34366-5,Urine,latest_completely_manual_cases
Valk(Valk),U-Prot strip,50561-0,Urine,latest_parentheses_one_cases
Val(Valk),U-Prot strip,50561-0,Urine,latest_parentheses_two_cases
Vankomutsiin(Vankomutsiin),Is-Vancomycin,19000-9,Isolate,latest_parentheses_one_cases
Vankomutsii(Vankomutsiin),Is-Vancomycin,19000-9,Isolate,latest_parentheses_two_cases
WBC,B-WBC,6690-2,Bld,latest_prefix_cases
"WBC,10^9/L",B-WBC,6690-2,Bld,latest_manual_cases
WBC_Leukots????did,B-WBC,6690-2,Bld,latest_completely_manual_cases
WBC Leukotsuudid,B-Wbc,6690-2,Bld,latest_manual_cases
WBC_Leukotsüüdid,B-WBC,6690-2,Bld,latest_manual_cases
WBC(WBC),B-WBC,6690-2,Bld,latest_parentheses_one_cases
vB-PLT-m,B-Plt,777-3,Bld,latest_semimanual_cases
WB(WBC),B-WBC,6690-2,Bld,latest_parentheses_two_cases
Vitamiin B12**(Vitamiin B12**),"S,P-Vit B12",14685-2,Bld,latest_parentheses_two_cases
VZV DN(Tuulerougeviiruse DNA),XXX-VZV DNA,11483-5,,latest_parentheses_two_cases
xxx-avaginaedna,XXX-A vaginae DNA,69565-0,Vag,latest_name_cases
xxx-calbicansdna,XXX-C albicans DNA,A-1567,,latest_name_cases
xxx-ctrachomatisdna,XXX-C trachomatis DNA,21613-5,,latest_name_cases
xxx-ctrachomatislgvdna,XXX-C trachomatis LGV DNA,A-2997,,latest_name_cases
xxx-gvaginalisdna,XXX-G vaginalis DNA,69936-3,,latest_name_cases
XXX-HPV high risk DNA genotüüpide DNA),XXX-HPV high risk DNA,49896-4,,latest_manual_cases
"xxx-hsv1,2dna","XXX-HSV1,2 DNA",20444-6,,latest_name_cases
xxx-mhominisdna,XXX-M hominis DNA,68546-1,,latest_name_cases
xxx-ngonorrhoeaedna,XXX-N gonorrhoeae DNA,24111-7,,latest_name_cases
xxx-uurealyticumdna,XXX-U urealyticum DNA,51988-4,,latest_name_cases
